date,UNH,HD,MCD,MSFT,AMGN,CAT,BA,HON,CVX,TRV,JNJ,AAPL,AXP,PG,WMT,JPM,IBM,NKE,MRK,MMM,DIS,KO,CSCO,VZ,WBA,INTC
1992-01-02,1.861164,4.586609,5.228435,1.478526,6.877995,2.563384,13.254774,5.210975,5.423542,7.81837,6.69386,0.431115,3.249997,5.379014,9.249187,3.086167,10.465567,1.72777,9.326714,9.693582,7.068017,4.764083,0.319275,5.366454,2.752701,0.893402
1992-01-03,2.003601,4.661939,5.245085,1.465557,6.877995,2.556038,13.219707,5.273007,5.472759,7.925473,6.664044,0.427492,3.230419,5.35009,9.034093,3.152181,10.480053,1.736691,9.466866,9.668139,7.258632,4.942182,0.325345,5.366454,2.80703,0.888956
1992-01-06,2.032087,4.653571,5.361643,1.51095,6.785983,2.563384,13.289838,5.350554,5.39401,7.979021,6.723679,0.420246,3.367467,5.313944,8.877654,3.267705,10.697486,1.698033,9.375764,9.744466,7.322773,4.927339,0.326559,5.296952,2.825142,0.875622
1992-01-07,2.013095,4.62846,5.478199,1.556344,6.774479,2.578074,13.500227,5.397082,5.28574,7.925473,6.813128,0.428397,3.347889,5.313944,8.838552,3.317217,10.972896,1.683164,9.347741,9.871682,7.33041,4.882814,0.339912,5.296952,2.752701,0.915625
1992-01-08,2.016261,4.586609,5.478199,1.611465,6.866494,2.563384,13.710619,5.536661,5.256208,7.871917,6.939849,0.43836,3.406624,5.321173,8.916764,3.465751,10.711987,1.674242,9.347741,9.719022,7.483126,4.793766,0.355694,5.338988,2.816085,0.928959
1992-01-09,2.095392,4.519656,5.711315,1.650373,6.900999,2.563384,13.780751,5.676239,5.177464,7.791593,6.92494,0.45104,3.484937,5.35009,8.916764,3.630785,10.581525,1.689112,9.333726,9.566369,7.819102,4.749242,0.357515,5.282936,2.816085,0.951183
1992-01-10,2.098558,4.544764,5.594757,1.624433,6.970009,2.534004,13.570357,5.567676,5.216836,7.671105,6.857851,0.45104,3.44578,5.422392,8.858103,3.56477,10.538039,1.721823,9.137521,9.655416,7.788561,4.704718,0.350838,5.240898,2.761756,0.937849
1992-01-13,2.063739,4.6452,5.594757,1.648751,7.062022,2.453211,13.710619,5.55217,5.374328,7.724656,6.857851,0.449228,3.426203,5.444082,9.053646,3.56477,10.465567,1.69506,8.976351,9.680863,7.742741,4.682455,0.35448,5.198857,2.825142,0.951183
1992-01-14,2.168192,4.745636,5.727967,1.663342,7.13103,2.513656,14.236607,5.645224,5.423542,7.764818,6.775856,0.467343,3.621986,5.60314,9.229637,3.74631,10.711987,1.778325,8.976351,9.922567,7.987092,4.734402,0.353266,5.226885,2.852304,0.968962
1992-01-15,2.240993,4.728898,5.628058,1.705493,6.716972,2.661084,14.5522,5.784803,5.384171,7.80498,6.462778,0.460097,3.484937,5.509148,9.170977,3.97736,11.059875,1.825906,8.752116,9.871682,8.13981,4.571145,0.362978,5.170835,2.816085,0.995631
1992-01-16,2.098558,4.578242,5.444897,1.656857,6.314412,2.779026,14.5522,5.784803,5.354641,7.630946,6.239159,0.454663,3.465358,5.35732,9.073197,3.927852,11.074361,1.778325,8.640004,9.833516,8.055815,4.393051,0.368441,5.114779,2.689317,1.084527
1992-01-17,2.070071,4.461066,5.461548,1.640645,6.440932,2.801141,14.517138,5.738276,5.334954,7.590776,6.395693,0.469154,3.504515,5.248283,8.936322,3.779316,11.175828,1.778325,8.618981,9.986171,8.08636,4.400469,0.364192,5.128794,2.77081,1.111195
1992-01-20,2.060574,4.343891,5.528153,1.588768,6.233904,2.84537,14.27167,5.753781,5.354641,7.470291,6.261514,0.46372,3.426203,5.313707,8.721223,3.696798,11.045379,1.76643,8.604963,9.922567,8.032907,4.311421,0.341126,5.142808,2.716481,1.093415
1992-01-21,2.000436,4.134646,5.644712,1.548238,6.095882,2.756912,13.885952,5.784803,5.521974,7.363187,6.209341,0.442889,3.347889,5.379128,8.525677,3.680295,10.769958,1.72777,8.492848,9.8844,7.88019,4.355943,0.325345,5.184845,2.752701,1.057858
1992-01-22,2.082731,4.394109,5.744621,1.627675,6.532945,2.764284,14.5522,5.753781,5.39401,7.497065,6.410599,0.460097,3.484937,5.575395,8.838552,3.647288,11.088861,1.772377,8.68205,9.769909,8.048182,4.444997,0.352052,5.268924,2.743645,1.088971
1992-01-23,2.146037,4.310416,5.678012,1.621192,6.509944,2.764284,14.622334,5.676239,5.256208,7.57739,6.358421,0.467343,3.465358,5.69897,8.682115,3.663792,10.842439,1.754535,8.689054,9.502766,7.97946,4.42273,0.358122,5.282936,2.80703,1.100083
1992-01-24,2.228332,4.310416,5.711315,1.616327,6.463934,2.756912,14.76259,5.722765,5.216836,7.671105,6.395693,0.468248,3.484937,5.713505,8.858103,3.729807,10.798954,1.736691,8.604963,9.490041,8.132174,4.444997,0.359336,5.353004,2.797976,1.108973
1992-01-27,2.234663,4.260192,5.661361,1.56445,6.164893,2.801141,15.25351,5.738276,5.157775,7.81837,6.336057,0.467343,3.54367,5.648088,8.740776,3.779316,10.871425,1.724797,8.520878,9.540925,8.093993,4.385628,0.361764,5.212872,2.797976,1.091193
1992-01-28,2.19668,4.226715,5.794569,1.56607,6.187895,2.756912,15.04312,5.893366,5.157775,7.979021,6.29133,0.472776,3.524092,5.967923,8.662557,3.79582,10.813449,1.74264,8.576933,9.579092,8.643772,4.355943,0.362371,5.15682,2.77081,1.113417
1992-01-29,2.089062,4.176497,5.628058,1.614706,6.210897,2.734799,14.20154,6.017434,5.059347,7.925473,6.157159,0.458285,3.367467,6.055154,8.584341,3.647288,10.653996,1.686138,8.5419,9.579092,8.475785,4.244635,0.35448,5.170835,2.698373,1.075636
1992-01-30,2.120714,4.151386,5.894479,1.601737,6.601954,2.756912,14.797653,6.032946,4.980603,8.005797,6.321153,0.461908,3.406624,6.004269,8.506122,3.729807,10.639509,1.76643,8.70307,9.464598,8.475785,4.578568,0.361764,5.212872,2.725536,1.077859
1992-01-31,2.108055,4.126276,5.794569,1.559586,6.486939,2.756912,14.27167,6.141507,5.010133,7.858528,6.410599,0.469154,3.230419,6.033348,8.427905,3.696798,10.436574,1.751561,8.808177,9.26106,8.338343,4.600827,0.364799,5.170835,2.73459,1.064525
1992-02-03,2.111218,4.260192,5.844525,1.621192,6.417929,2.756912,14.27167,6.110483,5.039661,7.684493,6.321153,0.4764,3.484937,5.866157,8.564784,3.729807,10.596025,1.787246,8.654016,9.286504,8.544507,4.682455,0.383009,5.086756,2.761756,1.062303
1992-02-04,2.123879,4.302042,5.794569,1.614706,6.532945,2.815884,14.166473,6.110483,5.005757,7.644332,6.410599,0.4764,3.44578,5.924309,8.682115,3.828826,10.697486,1.778325,8.906281,9.426435,8.659045,4.689876,0.3909,5.086756,2.797976,1.113417
1992-02-05,2.237828,4.343891,5.811224,1.650373,6.498439,2.838,14.096343,6.141507,4.995788,7.604163,6.440419,0.479117,3.387044,6.047888,8.662557,3.911345,10.581525,1.802116,8.864238,9.43916,8.697223,4.637934,0.402432,5.086756,2.852304,1.11564
1992-02-06,2.212506,4.368999,5.794569,1.637403,6.394925,2.889597,13.991147,6.188033,5.045645,7.657718,6.440419,0.464626,3.367467,5.895236,8.564784,4.026869,10.562134,1.796168,8.745111,9.413716,8.582687,4.667616,0.409109,5.072745,2.80703,1.108973
1992-02-07,2.177688,4.310416,5.827872,1.630919,6.245403,2.801141,13.921015,6.110483,5.155333,7.564003,6.328604,0.46372,3.367467,5.851617,8.525677,4.059878,10.488687,1.772377,8.604963,9.273781,8.529236,4.637934,0.415179,4.988661,2.73459,1.146753
1992-02-10,2.275811,4.335519,5.77792,1.614706,6.095882,2.9412,13.533344,6.172523,5.245078,7.617557,6.350965,0.45738,3.367467,5.851617,8.545236,4.241416,10.547447,1.81401,8.618981,9.362832,8.781218,4.675037,0.407895,5.072745,2.797976,1.160087
1992-02-11,2.335951,4.327149,5.727967,1.588768,5.980867,2.904343,13.2514,6.203538,5.215162,7.724656,6.247712,0.455568,3.406624,5.829814,8.506122,4.1754,10.606208,1.784272,8.625994,9.426435,8.880485,4.615669,0.403039,5.128794,2.788921,1.164532
1992-02-12,2.294802,4.343891,5.844525,1.630919,6.268407,2.992798,13.145671,6.250066,5.225132,7.81837,6.3375,0.472776,3.465358,5.873427,8.467016,4.307433,10.82655,1.772377,8.611968,9.43916,8.819395,4.660191,0.415179,5.058724,2.752701,1.20898
1992-02-13,2.275811,4.268561,5.811224,1.588768,6.141891,2.955941,13.145671,6.296592,5.055615,7.711269,6.157924,0.465531,3.387044,5.837083,8.467016,4.290929,10.664962,1.778325,8.464826,9.362832,8.643772,4.600827,0.413965,5.002676,2.716481,1.217869
1992-02-14,2.240993,4.184865,5.711315,1.536888,6.003869,2.985428,13.0047,6.343351,5.085531,7.778203,6.045689,0.465495,3.367467,5.815276,8.349691,4.274424,10.547447,1.772377,8.310658,9.470626,8.735403,4.571145,0.409109,5.002676,2.671413,1.193423
1992-02-18,2.171358,4.059319,5.511503,1.533647,5.727829,3.022284,13.075186,6.327764,4.916016,7.80498,5.843668,0.455513,3.367467,5.713505,8.036819,4.257921,10.532753,1.772377,8.184528,9.496295,8.94921,4.504359,0.400004,4.988661,2.580549,1.146753
1992-02-19,1.971948,4.092797,5.461548,1.493117,5.796839,3.10337,13.0047,6.218666,4.945926,7.81837,5.903523,0.450068,3.308732,5.749852,8.154147,4.1754,10.532753,1.698033,8.079419,9.432129,8.895758,4.571145,0.396969,4.960637,2.671413,1.133419
1992-02-20,2.038418,4.193235,5.61141,1.52392,5.934861,3.081254,13.039938,6.281007,4.985815,7.81837,5.970864,0.469124,3.367467,5.851617,8.330135,4.290929,10.547447,1.715874,8.254605,9.611789,9.269913,4.697296,0.406074,4.932612,2.662327,1.173422
1992-02-21,2.003601,4.126276,5.711315,1.485011,5.796839,2.992798,13.216161,6.203081,4.846212,7.711269,5.955903,0.471846,3.347889,5.946119,8.154147,4.422953,10.562134,1.647478,8.198544,9.624619,9.338634,4.697296,0.395755,4.862548,2.580549,1.204536
1992-02-24,1.886485,4.134646,5.761268,1.489874,5.773836,3.037027,13.2514,6.17191,4.846212,7.764818,6.030724,0.480013,3.347889,5.924309,8.095484,4.472465,10.503374,1.644503,8.380735,9.53479,9.430264,4.719559,0.388472,4.974649,2.653239,1.16231
1992-02-25,1.984609,4.168126,5.673824,1.501222,5.842845,2.948569,13.039938,6.000468,4.836238,7.845145,6.045689,0.497253,3.308732,5.851617,8.056372,4.356942,10.371165,1.656399,8.548912,9.521954,9.353909,4.726977,0.385436,4.932612,2.635066,1.133419
1992-02-26,2.101723,4.310416,5.473572,1.582283,6.130388,2.970685,12.934207,6.031639,4.866154,7.912079,6.195333,0.507235,3.249997,5.873427,8.427905,4.373445,10.371165,1.712902,8.892264,9.56045,9.514258,4.867975,0.403646,4.960637,2.607808,1.164532
1992-02-27,2.054244,4.343891,5.456884,1.61957,6.061378,2.896969,12.863726,6.047225,4.945926,7.938857,6.157924,0.497253,3.269576,5.924309,8.564784,4.455965,10.312408,1.72777,8.87825,9.419291,9.414996,4.845713,0.400611,4.890571,2.616894,1.146753
1992-02-28,2.025758,4.285302,5.406821,1.601737,6.003869,2.882226,12.969455,6.187493,4.916016,7.738043,6.060654,0.489995,3.289153,5.909772,8.447458,4.439457,10.209568,1.736691,8.836206,9.342301,9.392085,4.853129,0.395755,4.876558,2.635066,1.128974
1992-03-02,2.032087,4.285302,5.506948,1.595252,6.141891,3.000169,13.075186,6.23425,4.866154,7.697882,6.038205,0.488179,3.249997,5.902503,8.447458,4.389947,10.283024,1.736691,8.832825,9.329463,9.437902,4.83087,0.393327,4.848532,2.653239,1.168977
1992-03-03,2.013095,4.270561,5.473572,1.598494,6.08438,2.978056,13.216161,6.42128,4.975842,7.711269,5.970864,0.481828,3.289153,5.946119,8.330135,4.389947,10.371165,1.757508,8.663911,9.290965,9.460809,4.838291,0.3909,4.820505,2.653239,1.15342
1992-03-04,2.000436,4.220321,5.440196,1.588768,5.911855,3.00754,13.321884,6.265422,4.906042,7.657718,5.85115,0.471846,3.32831,5.909772,8.134593,4.307433,10.268333,1.751561,8.516112,9.265301,9.48372,4.778924,0.388472,4.778467,2.616894,1.133419
1992-03-05,1.895981,4.186828,5.340068,1.572555,5.73933,2.9412,13.145671,6.140733,4.906042,7.510459,5.82122,0.460957,3.347889,5.800735,8.330135,4.158898,10.180189,1.733717,8.516112,9.226806,9.491351,4.771505,0.383615,4.736428,2.635066,1.128974
1992-03-06,1.952956,4.111467,5.340068,1.533647,5.612813,2.919084,13.0047,6.10957,4.916016,7.470291,5.753881,0.464587,3.367467,5.764389,8.271481,4.109389,10.150816,1.69506,8.445731,9.278131,9.48372,4.682455,0.37876,4.736428,2.625979,1.10675
1992-03-09,1.965617,4.094718,5.356755,1.543374,5.727829,2.896969,12.652269,6.062812,4.9559,7.41674,5.866115,0.462772,3.44578,5.742583,8.232361,4.307433,10.268333,1.66279,8.523149,9.329463,9.262277,4.773609,0.382402,4.792479,2.635066,1.10675
1992-03-10,2.047914,4.128211,5.340068,1.57904,6.01537,2.84537,12.757999,6.187493,4.975842,7.497065,5.783809,0.462772,3.426203,5.778926,8.25192,4.274424,10.32709,1.707409,8.565382,9.316628,9.262277,4.840635,0.3909,4.764453,2.616894,1.146753
1992-03-11,2.003601,4.103091,5.557013,1.559586,5.911855,2.815884,12.652269,6.140733,4.965871,7.41674,5.76136,0.459143,3.367467,5.728048,8.193254,4.224912,10.312408,1.695511,8.466847,9.213966,9.079016,4.818293,0.382402,4.764453,2.616894,1.111195
1992-03-12,2.006766,4.153331,5.707201,1.570935,5.796839,2.801141,12.617022,6.000468,5.005757,7.443514,5.746399,0.455513,3.289153,5.735318,8.271481,4.158898,10.473991,1.698486,8.30497,9.162637,8.995023,4.833186,0.384222,4.722413,2.607808,1.137863
1992-03-13,2.013095,4.1952,5.690512,1.569313,5.911855,2.889597,12.617022,6.047225,5.085531,7.564003,5.746399,0.458235,3.32831,5.749852,8.193254,4.241416,10.532753,1.763927,8.319045,9.239635,9.101923,4.848081,0.384829,4.750439,2.598721,1.137863
1992-03-16,2.025758,4.345926,5.673824,1.611465,5.86585,2.867483,12.687511,6.031639,5.065588,7.523846,5.82122,0.46005,3.347889,5.728048,8.310583,4.257921,10.429929,1.677663,8.30497,9.213966,9.163013,4.870421,0.384222,4.750439,2.589634,1.16231
1992-03-17,2.025758,4.42129,5.723887,1.660099,5.934861,2.838,12.757999,6.203081,5.045645,7.537229,5.828701,0.456421,3.44578,5.808007,8.416593,4.406451,10.297713,1.677663,8.431656,9.290965,9.208827,4.907658,0.399398,4.708402,2.635066,1.168977
1992-03-18,2.019426,4.379422,5.907454,1.639024,5.957863,2.926455,12.898967,6.203081,5.005757,7.57739,5.753881,0.462772,3.44578,5.764389,8.338295,4.439457,10.283024,1.659817,8.333124,9.252466,9.247007,4.848081,0.406681,4.652347,2.607808,1.184533
1992-03-19,2.041583,4.387796,5.807326,1.653615,5.87735,2.926455,12.757999,6.156323,5.055615,7.497065,5.76136,0.457328,3.465358,5.778926,8.318727,4.571489,10.092052,1.609248,8.347198,9.239635,9.254642,4.803396,0.402432,4.694388,2.616894,1.166754
1992-03-20,2.038418,4.39617,5.757266,1.666584,5.762334,2.933826,12.581777,6.530376,5.075562,7.671105,5.746399,0.459143,3.484937,5.844352,8.338295,4.670509,10.121435,1.591401,8.283852,9.265301,9.155377,4.825741,0.402432,4.736428,2.607808,1.155643
1992-03-23,2.041583,4.412918,5.690512,1.666584,5.831345,2.919084,12.370317,6.608306,5.105476,7.697882,5.664093,0.457328,3.484937,5.815276,8.240427,4.587991,10.062677,1.582477,8.290898,9.175468,9.155377,4.870421,0.393327,4.736428,2.571462,1.12453
1992-03-24,2.066905,4.412918,5.607073,1.653615,5.796839,2.896969,12.264588,6.655063,5.095502,7.657718,5.798774,0.471846,3.602407,5.844352,8.318727,4.53848,10.018604,1.582477,8.445731,9.213966,9.033205,4.855527,0.398183,4.722413,2.589634,1.088971
1992-03-25,2.073236,4.39617,5.540324,1.666584,5.86585,2.948569,12.29983,6.670645,5.065588,7.677176,5.828701,0.468217,3.68072,5.880695,8.377448,4.53848,10.003914,1.591401,8.445731,9.111303,9.132467,4.900209,0.415179,4.722413,2.589634,1.071192
1992-03-26,2.108055,4.47153,5.607073,1.621192,5.750832,2.992798,12.405566,6.826506,5.085531,7.731242,5.866115,0.464587,3.759035,5.873427,8.357871,4.620997,9.886389,1.594375,8.333124,9.047146,9.04084,4.915106,0.410323,4.694388,2.571462,1.044524
1992-03-27,2.038418,4.412918,5.473572,1.572555,5.658817,2.948569,12.335076,6.545963,5.115445,7.6096,5.76136,0.44281,3.641563,5.815276,8.338295,4.571489,9.783565,1.555706,8.213478,9.059975,9.025565,4.929998,0.37876,4.638335,2.544202,0.982296
1992-03-30,2.016261,4.287313,5.406821,1.556344,5.73933,2.970685,12.335076,6.561548,5.075562,7.569051,5.723952,0.421939,3.641563,5.822543,8.29915,4.406451,9.798252,1.59735,8.276819,9.111303,9.201193,4.892765,0.37876,4.652347,2.544202,0.946738
1992-03-31,2.006766,4.337551,5.323384,1.536888,5.750832,2.948569,12.370317,6.296592,5.095502,7.623113,5.836185,0.422847,3.62177,5.946119,8.338295,4.363153,9.81294,1.603299,8.283852,9.111303,9.262277,4.870421,0.383615,4.652347,2.607808,0.982296
1992-04-01,2.000436,4.312437,5.406821,1.562828,5.727829,2.911712,12.757999,6.23425,5.095502,7.6096,5.873597,0.428291,3.62177,5.953384,8.29915,4.346502,9.739495,1.612224,8.424621,9.047146,9.414996,4.885319,0.393327,4.666363,2.635066,0.991186
1992-04-02,2.032087,4.186828,5.423509,1.517435,5.474793,2.904343,12.757999,6.468037,5.055615,7.569051,5.806258,0.426477,3.562397,5.895236,8.142566,4.19662,9.666043,1.612224,8.290898,9.021479,9.560073,4.818293,0.387257,4.610309,2.616894,0.982296
1992-04-03,2.025758,4.203575,5.523635,1.52392,5.5208,2.955941,12.722754,6.405694,5.304908,7.569051,5.896044,0.428291,3.522817,5.931582,8.083843,4.130007,9.607281,1.606274,8.326085,9.07281,9.674611,4.94489,0.388472,4.624322,2.589634,0.973408
1992-04-06,2.025758,4.337551,5.623763,1.572555,5.566806,2.948569,12.617022,6.483622,5.364735,7.555537,5.843668,0.440995,3.641563,5.85889,8.279585,4.279887,9.768871,1.618172,8.410542,9.059975,9.725689,4.967236,0.400611,4.627167,2.607808,1.028967
1992-04-07,1.968783,4.228697,5.573698,1.504466,5.394279,2.911712,12.335076,6.405694,5.20519,7.555537,5.738912,0.415588,3.542607,5.684432,8.083843,4.080048,9.680735,1.588426,8.255706,8.905977,9.442785,4.818293,0.371476,4.641406,2.535116,1.000075
1992-04-08,1.908643,4.211949,5.540324,1.520677,5.267762,2.830626,12.194107,6.343351,5.175276,7.420374,5.768844,0.405606,3.503025,5.619009,8.044693,3.930169,9.974533,1.540833,8.248662,8.918814,9.15224,4.766161,0.371476,4.61293,2.535116,1.022299
1992-04-09,1.975113,4.329179,5.623763,1.556344,5.509298,2.830626,12.123613,6.483622,5.155333,7.474436,5.843668,0.415588,3.562397,5.742583,8.279585,4.063395,10.003914,1.55868,8.452768,8.995811,9.251637,4.840635,0.387257,4.655643,2.544202,1.017855
1992-04-10,1.982206,4.312437,5.590384,1.504466,5.428785,2.867483,12.652269,6.70182,5.215162,7.582572,6.030724,0.402884,3.542607,5.800735,8.279585,4.229925,10.106743,1.588426,8.579457,9.021479,9.34339,4.907658,0.364192,4.698358,2.52603,0.908958
1992-04-13,1.988539,4.387796,5.456884,1.52392,5.5208,2.91333,12.898967,6.717406,5.175276,7.596087,6.045689,0.410143,3.562397,5.815276,8.377448,4.229925,10.283024,1.627096,8.628717,9.059975,9.320455,4.877868,0.369048,4.726831,2.562376,0.886734
1992-04-14,2.026537,4.496654,5.557013,1.517435,5.612813,2.928118,13.075186,6.81092,5.245078,7.785311,6.120513,0.426477,3.582188,6.076963,8.553606,4.546338,10.371165,1.656841,8.741328,9.419291,9.144594,4.885319,0.386043,4.769547,2.616894,0.928959
1992-04-15,2.020204,4.580389,5.640449,1.671448,5.463291,3.186915,13.286638,6.920019,5.294932,7.650146,6.015759,0.43918,3.62177,6.076963,8.651473,4.529684,10.400545,1.692537,8.516112,9.56045,9.175179,4.967236,0.386043,4.826493,2.589634,0.951183
1992-04-16,1.934709,4.44641,5.673824,1.655236,5.244759,3.164732,13.321884,7.107046,5.354766,7.569051,5.948422,0.428291,3.641563,6.011539,8.534031,4.562992,10.41523,1.66874,8.382388,9.521954,9.297516,4.952341,0.375118,4.869206,2.544202,0.928959
1992-04-20,1.804885,4.312437,5.523635,1.532025,5.014727,3.312615,13.180912,7.044705,5.334822,7.447411,5.791292,0.411958,3.601981,5.846381,8.279585,4.513033,10.518069,1.618172,8.129016,9.547621,9.243992,4.848081,0.361764,4.826493,2.507858,0.906735
1992-04-21,1.820717,4.253817,5.456884,1.506086,5.279265,3.238675,13.075186,7.075876,5.324852,7.244664,5.746399,0.408328,3.562397,5.875612,8.240427,4.629607,10.576825,1.582477,8.164209,9.778612,9.274573,4.840635,0.352052,4.897679,2.444251,0.897846
1992-04-22,1.852381,4.228697,5.473572,1.525541,5.060732,3.356981,12.969455,7.013536,5.265021,7.271695,5.566824,0.41831,3.641563,5.868306,8.201282,4.796138,10.591511,1.567604,8.030487,9.881274,9.381618,4.840635,0.361764,4.926157,2.453338,0.928959
1992-04-23,1.792218,4.23707,5.657137,1.501222,4.876705,3.356981,12.828478,7.356413,5.334822,7.393343,5.439624,0.413773,3.720729,5.831762,8.240427,4.862752,10.488687,1.55868,7.868609,9.778612,9.335742,4.907658,0.353266,4.983106,2.426078,0.924514
1992-04-24,1.738388,4.128211,5.874077,1.45583,4.750187,3.349589,12.793242,7.23173,5.394651,7.420374,5.514447,0.410143,3.582188,5.970616,8.103415,4.762829,10.356471,1.528934,7.910839,9.509124,9.251637,4.825741,0.35448,4.99734,2.398818,0.920069
1992-04-27,1.804885,4.136585,5.824015,1.468799,4.738687,3.290434,12.687511,7.184973,5.434538,7.420374,5.604235,0.404699,3.463445,6.051003,8.12299,4.796138,10.356471,1.466468,7.953063,9.53479,9.129302,4.788504,0.344769,4.983106,2.371561,0.906735
1992-04-28,1.839715,4.086343,5.874077,1.413679,4.600666,3.297828,12.511298,7.200562,5.454484,7.460924,5.641645,0.39381,3.443652,5.948694,8.12299,4.746178,10.400545,1.436722,7.946025,9.521954,9.006967,4.788504,0.331414,5.011582,2.353388,0.90229
1992-04-29,1.874547,4.144959,5.990891,1.444482,4.968719,3.312615,12.370317,7.309658,5.454484,7.514986,5.656612,0.413773,3.503025,5.882916,8.142566,4.729524,10.356471,1.448622,8.093824,9.59896,9.083428,4.862975,0.344769,4.99734,2.289782,0.926736
1992-04-30,1.937875,4.178453,5.92414,1.429891,5.152745,3.320011,12.405566,7.262902,5.564168,7.406854,5.679059,0.436458,3.562397,6.036386,8.18171,4.679565,10.664962,1.490264,8.164209,9.624619,8.915215,4.94489,0.35448,5.05429,2.435166,0.951183
1992-05-01,1.941042,4.128211,5.790636,1.475284,5.037729,3.268251,12.335076,7.387585,5.49437,7.501472,5.731433,0.430106,3.562397,5.977922,8.064264,4.762829,10.650276,1.457545,8.100865,9.521954,8.930505,4.937446,0.358122,5.05429,2.426078,0.935626
1992-05-04,1.963207,4.203575,5.824015,1.478526,5.152745,3.320011,12.194107,7.309658,5.574142,7.663663,5.828701,0.43918,3.522817,6.058311,8.12299,4.962673,10.870624,1.48729,8.30497,9.573285,9.045198,4.974681,0.36662,5.097005,2.380647,0.933403
1992-05-05,1.953707,4.287313,5.840702,1.51095,5.210254,3.164732,12.053135,7.247317,5.519651,7.569051,5.813735,0.43918,3.562397,5.941383,8.142566,5.029284,11.032212,1.520011,8.319045,9.586121,9.060488,4.929998,0.377546,5.097005,2.380647,0.966739
1992-05-06,1.956875,4.262189,5.907454,1.504466,5.244759,3.312615,12.229347,7.325248,5.49947,7.596087,5.68654,0.448254,3.582188,6.021771,8.12299,5.129203,10.973457,1.531909,8.255706,9.59896,9.190467,4.922552,0.377546,5.040056,2.371561,0.955628
1992-05-07,1.91571,4.270561,5.92414,1.491495,5.060732,3.290434,12.440806,7.262902,5.459104,7.623113,5.731433,0.440995,3.522817,6.051003,8.103415,5.062592,11.162175,1.517037,8.333124,9.547621,9.175179,4.967236,0.371476,4.968869,2.389732,0.955628
1992-05-08,1.861881,4.304059,5.940826,1.485011,5.026227,3.283041,12.440806,7.247317,5.49947,7.650146,5.708986,0.450068,3.463445,6.109468,8.142566,4.979323,11.087755,1.511086,8.347198,9.59896,9.190467,5.034257,0.376331,4.95463,2.389732,0.948961
1992-05-11,1.91571,4.404542,6.074328,1.478526,4.888207,3.393953,12.476247,7.309658,5.509558,7.650146,5.783809,0.451884,3.601981,6.116774,8.279585,5.029284,11.17705,1.549756,8.396461,9.752951,9.175179,5.08639,0.384829,4.940393,2.416992,0.944516
1992-05-12,1.896711,4.44641,5.890767,1.481768,4.89971,3.371769,12.440807,7.418758,5.489377,7.528502,5.68654,0.451884,3.601981,6.058311,8.338295,5.045936,11.132408,1.56463,8.333124,9.932609,9.075781,5.10873,0.381188,4.940393,2.435166,0.917847
1992-05-13,1.855548,4.412918,5.874077,1.462314,5.060732,3.3348,12.440807,7.371998,5.438921,7.6096,5.721727,0.455513,3.661355,6.072928,8.279585,5.145856,10.998466,1.555706,8.326085,9.906942,9.297516,5.21299,0.371476,4.95463,2.444251,0.91118
1992-05-14,1.865046,4.312437,5.824015,1.436375,4.945717,3.342195,12.440807,7.340698,5.479284,7.528502,5.639021,0.445532,3.582188,6.102159,8.162137,5.062592,10.924046,1.448622,8.213478,9.71445,9.198115,5.138517,0.3909,4.95463,2.389732,0.871177
1992-05-15,1.947374,4.270561,5.757266,1.426648,5.037729,3.283041,12.369922,7.293743,5.378379,7.474436,5.60143,0.440088,3.522817,6.080238,8.103415,4.995979,10.90916,1.386155,8.157166,9.727283,9.351034,5.16831,0.396969,4.95463,2.353388,0.857843
1992-05-18,2.001205,4.354301,5.840702,1.462314,5.014727,3.312615,12.334474,7.372002,5.539831,7.569051,5.646539,0.438273,3.503025,6.094852,8.29915,5.01263,10.804979,1.445646,8.199401,9.784232,9.695104,5.272568,0.405467,4.983106,2.371999,0.840064
1992-05-19,2.026537,4.412918,5.974205,1.485011,5.187251,3.364377,12.405364,7.434607,5.49947,7.663663,5.729247,0.431014,3.562397,6.080238,8.436162,5.029284,11.013346,1.457545,8.389429,9.835999,10.000944,5.376825,0.407895,5.025817,2.444983,0.835618
1992-05-20,2.14053,4.454784,6.15777,1.514192,5.267762,3.423528,12.511699,7.418957,5.428835,7.771796,5.661578,0.43555,3.641563,6.043695,8.29915,5.01263,10.90916,1.457545,8.354239,9.835999,9.633935,5.302359,0.410323,5.05429,2.399368,0.851176
1992-05-21,2.118364,4.438035,6.24121,1.512571,5.428785,3.512259,12.511699,7.278091,5.459104,7.825853,5.654061,0.429199,3.601981,6.043695,8.162137,4.962673,10.894282,1.418875,8.333124,9.745401,9.419849,5.287458,0.403039,5.025817,2.344629,0.844508
1992-05-22,2.115197,4.491333,6.124391,1.501222,5.417284,3.467896,12.405364,7.278091,5.570103,7.852889,5.70669,0.431921,3.62177,5.99254,8.201282,4.962673,10.924046,1.398053,8.593533,9.758342,9.266931,5.272568,0.400611,4.95463,2.326384,0.862287
1992-05-26,2.051867,4.449433,6.00758,1.497981,5.313769,3.519655,12.299028,7.137228,5.862736,7.839375,5.541278,0.430106,3.582188,5.948694,8.103415,4.796138,10.775216,1.409952,8.382388,9.628921,9.144594,5.16831,0.398183,4.926157,2.280768,0.848953
